#,Category,Line Item,Budgeted,Prior Year Actual
1,Utilities,Water,665000,255000
2,Utilities,Propane,245000,156000
3,Utilities,Electricity,208828,85500
4,Utilities,Waste service,96466,45936
5,Utilities,Recycle,66292,3132
6,Grounds & Landscaping,Landscaping contract,562716,244400
7,Grounds & Landscaping,Pool supplies,87500,4275
8,Grounds & Landscaping,Palm trimming,61250,0
9,Grounds & Landscaping,Irrigation system,43750,20000
10,Grounds & Landscaping,Landscaping lights,17500,17500
11,Grounds & Landscaping,Landscaping supplies,5250,5000
12,Grounds & Landscaping,Pool maintenance,4375,80000
13,Payroll,Payroll,255500,184834
14,Payroll,SAT ISR,180000,180000
15,Payroll,Payroll tax,150502,11220
16,Payroll,Employees uniforms,10000,10000
17,Administration,Managment fee,486500,247776
18,Administration,Legal fees,35000,21000
19,Administration,Accountant,34800,34800
20,Administration,Bank comission,26338,6282
21,Security,Security Services,428750,220000
22,Maintenance & Repairs,General repairs,175000,90000
23,Maintenance & Repairs,Pest control,52500,32886
24,Maintenance & Repairs,Roof maintenance,47250,47000
25,Maintenance & Repairs,Main entrance iron door paint,35000,35000
26,Maintenance & Repairs,Garage doors painting,35000,35000
27,Maintenance & Repairs,Villas minor painting,17500,10000
28,Maintenance & Repairs,Fire protection,10500,
29,Maintenance & Repairs,Equipment & tools,8750,0
30,Insurance,Property insurance,254895,259000
31,Reserve Contribution,Reserve,175000,82464
32,Taxes & Government Fees,Beach concession,87500,0
33,Taxes & Government Fees,Property taxes,5250,56790
34,Capital Expense,Capital exp project,66763,66762
,,TOTAL,4642223,2547557
